source_path,destination_path,sha256,size,modified_time,reason_selected,claim_id,copy_status
/home/xqin5/llmlanguage/ir_mstu_stage2/data/r6/r6_task_policy_annotations.yaml,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/11_r6_task_policy_annotations.yaml,f6122012b83c9f29c46b86472808e661d2b25efd4f12c882582a9a6e80c73ced,13499,2026-06-24T19:16:54.068228-05:00,R6 evaluator annotations,"C06-C08,C11",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/scripts/r6/r6_contrasts.py,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/12_r6_contrasts.py,f5ff43cad6d499dee8e92db9cf2b5671e5dad6eb02cc673785665d0b423c5861,8703,2026-06-24T22:52:15.428761-05:00,R6 original contrast implementation,"C04,C08",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/scripts/r6/extract_r6_metrics.py,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/13_extract_r6_metrics.py,eef8f73853b936ebfb09b2e3605ec2fb895e67030c32858e757df8bbfb64ee2c,26570,2026-06-25T18:31:42.208373-05:00,R6 metric implementation,C06-C11,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/src/r6/minimal_live_agent.py,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/14_minimal_live_agent.py,704384b2fa7d7aeceeb73ff7f809bdd1b27c62a3024e47c6aa38d5d5cdb35e21,24047,2026-07-06T09:07:53.219566-05:00,R6 minimal environment executor/evaluator,C06,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r7c_ipma/R7C_FULL_REPORT_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/15_R7C_FULL_REPORT_CN.md,9f3b48a9d8a6f78afa89ba31552fc8a63e635e9822ca1d6e227ecb19522b231f,19216,2026-07-10T16:10:07.148341-05:00,R7-C strict placebo counterevidence,C13,COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r7d_ipma/R7D_STEP1_CONSTRUCT_VALIDITY_AND_ALIGNMENT_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/16_R7D_STEP1_CONSTRUCT_VALIDITY_AND_ALIGNMENT_CN.md,539fa4d5db88952a58457dcdaf21c89953ecc23330f141ff06ad9b50bdf25163,14387,2026-07-11T19:20:06.301782-05:00,R7-D construct audit,"C12,C13",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r8_full_episode/analysis/analysis.json,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/17_analysis.json,21a0bbcea6bd7e0dd58f2953de745233adc952e5e77da5b4e60532dc5b3b6aac,74078,2026-07-18T21:33:32.638347-05:00,R8 primary/secondary analysis,"C14,C15",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/results/r8_full_episode/integrity/full_integrity.json,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/18_full_integrity.json,e8ac6c99953e03a3fb1c6a883278696ab7b79877c9ff65793c73802ea19bd886,3729,2026-07-18T00:30:27.046237-05:00,R8 integrity report,"C14,C15",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/r8_full_episode/R8_FULL_EPISODE_MULTI_STEP_STRESS_TEST_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/19_R8_FULL_EPISODE_MULTI_STEP_STRESS_TEST_CN.md,b929f82420c2e5e16c16ad45ee61f51564bf2998abfbc7c30c714cccb4c75f6e,22019,2026-07-18T21:35:48.949931-05:00,R8 final report,"C14,C15",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/data/r8_full_episode/frozen/preregistration.json,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/20_preregistration.json,234b40685c224cf1cc83371494bbfd006c6f6ba6115e2351c81e0f99c49a3c7f,1943,2026-07-14T22:29:07.095244-05:00,R8 frozen preregistration,"C14,C15",COPIED_VERIFIED
/home/xqin5/llmlanguage/ir_mstu_stage2/reports/measurement_repair/R5_FULL_EXPERIMENT_REPORT_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/21_R5_FULL_EXPERIMENT_REPORT_CN.md,764a596697753cde359e1c937d0f91669d3121beb41724aa883b2c8dbe13cb88,14136,2026-06-24T18:20:53.130807-05:00,R5 replication/null context,context,COPIED_VERIFIED
/home/xqin5/llmlanguage/LLMLANGUAGE_轮次进展与试错总结_CN.md,/home/xqin5/llmlanguage/EACL_PROCESS_ROBUSTNESS_PAPER_PACKAGE_20260718/02_CORE_EVIDENCE/source_snapshots/22_LLMLANGUAGE_轮次进展与试错总结_CN.md,8680020cb66c0b4e705c23a7839747425af84277c70b4798f16651395efa1b95,70840,2026-07-18T16:52:46.017621-05:00,Cross-round historical ledger,context,COPIED_VERIFIED
