pair_type,both_success,domain,task_family,first_divergent_stage_a,first_divergent_stage_b,timing_bucket,n_pairs
C1_C1,False,airline,compound,retrieval_search,communication_only,late,1
C1_C1,False,airline,compound,retrieval_search,communication_only,middle,2
C1_C1,False,airline,compound,retrieval_search,entity_lookup,early,7
C1_C1,False,airline,compound,retrieval_search,entity_lookup,middle,6
C1_C1,False,airline,compound,retrieval_search,recovery_retry,early,4
C1_C1,False,airline,compound,retrieval_search,retrieval_search,early,6
C1_C1,False,airline,compound,retrieval_search,retrieval_search,middle,10
C1_C1,False,airline,compound,retrieval_search,write_mutation,early,1
C1_C1,False,airline,compound,retrieval_search,write_mutation,late,3
C1_C1,False,airline,compound,retrieval_search,write_mutation,middle,2
C1_C1,False,airline,compound,write_mutation,<END>,late,5
C1_C1,False,airline,compound,write_mutation,<END>,middle,4
C1_C1,False,airline,compound,write_mutation,communication_only,early,3
C1_C1,False,airline,compound,write_mutation,communication_only,late,1
C1_C1,False,airline,compound,write_mutation,communication_only,middle,1
C1_C1,False,airline,compound,write_mutation,entity_lookup,early,2
C1_C1,False,airline,compound,write_mutation,entity_lookup,late,6
C1_C1,False,airline,compound,write_mutation,entity_lookup,middle,1
C1_C1,False,airline,compound,write_mutation,recovery_retry,late,2
C1_C1,False,airline,compound,write_mutation,write_mutation,middle,1
C1_C1,False,airline,read,<END>,<END>,late,11
C1_C1,False,airline,read,communication_only,write_mutation,late,2
C1_C1,False,airline,read,communication_only,write_mutation,middle,1
C1_C1,False,airline,read,entity_lookup,retrieval_search,middle,1
C1_C1,False,airline,read,retrieval_search,entity_lookup,early,2
C1_C1,False,airline,read,retrieval_search,entity_lookup,middle,1
C1_C1,False,airline,read,retrieval_search,write_mutation,middle,3
C1_C1,False,airline,read,write_mutation,communication_only,middle,1
C1_C1,False,airline,read,write_mutation,retrieval_search,middle,6
C1_C1,False,airline,single,<END>,<END>,late,39
C1_C1,False,airline,single,<END>,communication_only,early,1
C1_C1,False,airline,single,<END>,communication_only,middle,1
C1_C1,False,airline,single,<END>,post_write_verification,late,1
C1_C1,False,airline,single,<END>,recovery_retry,late,2
C1_C1,False,airline,single,<END>,write_mutation,late,1
C1_C1,False,airline,single,<END>,write_mutation,middle,1
C1_C1,False,airline,single,communication_only,<END>,late,1
C1_C1,False,airline,single,communication_only,retrieval_search,early,1
C1_C1,False,airline,single,entity_lookup,<END>,late,2
C1_C1,False,airline,single,entity_lookup,<END>,middle,3
C1_C1,False,airline,single,entity_lookup,communication_only,early,1
C1_C1,False,airline,single,entity_lookup,communication_only,middle,1
C1_C1,False,airline,single,entity_lookup,entity_lookup,early,4
C1_C1,False,airline,single,entity_lookup,recovery_retry,middle,1
C1_C1,False,airline,single,entity_lookup,retrieval_search,early,2
C1_C1,False,airline,single,entity_lookup,retrieval_search,middle,2
C1_C1,False,airline,single,entity_lookup,write_mutation,late,1
C1_C1,False,airline,single,post_write_verification,<END>,late,3
C1_C1,False,airline,single,post_write_verification,write_mutation,middle,2
C1_C1,False,airline,single,recovery_retry,<END>,late,1
C1_C1,False,airline,single,recovery_retry,<END>,middle,2
C1_C1,False,airline,single,recovery_retry,retrieval_search,middle,1
C1_C1,False,airline,single,retrieval_search,<END>,middle,4
C1_C1,False,airline,single,retrieval_search,communication_only,early,3
C1_C1,False,airline,single,retrieval_search,entity_lookup,early,8
C1_C1,False,airline,single,retrieval_search,entity_lookup,middle,1
C1_C1,False,airline,single,retrieval_search,recovery_retry,middle,1
C1_C1,False,airline,single,retrieval_search,retrieval_search,middle,4
C1_C1,False,airline,single,retrieval_search,write_mutation,middle,1
C1_C1,False,airline,single,write_mutation,<END>,late,3
C1_C1,False,airline,single,write_mutation,entity_lookup,middle,1
C1_C1,False,airline,single,write_mutation,post_write_verification,middle,4
C1_C1,False,airline,single,write_mutation,retrieval_search,middle,2
C1_C1,False,retail,compound,<END>,<END>,late,50
C1_C1,False,retail,compound,<END>,entity_lookup,early,2
C1_C1,False,retail,compound,<END>,entity_lookup,late,1
C1_C1,False,retail,compound,<END>,entity_lookup,middle,9
C1_C1,False,retail,compound,<END>,recovery_retry,late,1
C1_C1,False,retail,compound,<END>,write_mutation,late,7
C1_C1,False,retail,compound,<END>,write_mutation,middle,2
C1_C1,False,retail,compound,communication_only,<END>,late,2
C1_C1,False,retail,compound,communication_only,entity_lookup,middle,2
C1_C1,False,retail,compound,communication_only,write_mutation,late,1
C1_C1,False,retail,compound,communication_only,write_mutation,middle,2
C1_C1,False,retail,compound,entity_lookup,<END>,late,2
C1_C1,False,retail,compound,entity_lookup,<END>,middle,7
C1_C1,False,retail,compound,entity_lookup,communication_only,early,2
C1_C1,False,retail,compound,entity_lookup,communication_only,middle,2
C1_C1,False,retail,compound,entity_lookup,entity_lookup,middle,13
C1_C1,False,retail,compound,entity_lookup,recovery_retry,early,10
C1_C1,False,retail,compound,entity_lookup,write_mutation,late,7
C1_C1,False,retail,compound,entity_lookup,write_mutation,middle,8
C1_C1,False,retail,compound,post_write_verification,<END>,late,2
C1_C1,False,retail,compound,post_write_verification,recovery_retry,late,3
C1_C1,False,retail,compound,post_write_verification,write_mutation,late,5
C1_C1,False,retail,compound,recovery_retry,<END>,late,2
C1_C1,False,retail,compound,recovery_retry,entity_lookup,early,6
C1_C1,False,retail,compound,recovery_retry,entity_lookup,middle,3
C1_C1,False,retail,compound,recovery_retry,post_write_verification,late,4
C1_C1,False,retail,compound,recovery_retry,write_mutation,late,1
C1_C1,False,retail,compound,write_mutation,<END>,late,7
C1_C1,False,retail,compound,write_mutation,entity_lookup,middle,2
C1_C1,False,retail,compound,write_mutation,post_write_verification,late,3
C1_C1,False,retail,compound,write_mutation,post_write_verification,middle,1
C1_C1,False,retail,compound,write_mutation,recovery_retry,late,1
C1_C1,False,retail,read,<END>,<END>,late,31
C1_C1,False,retail,read,<END>,communication_only,late,4
C1_C1,False,retail,read,<END>,entity_lookup,late,1
C1_C1,False,retail,read,<END>,entity_lookup,middle,2
C1_C1,False,retail,read,communication_only,entity_lookup,middle,2
C1_C1,False,retail,read,communication_only,recovery_retry,middle,2
C1_C1,False,retail,read,entity_lookup,<END>,late,5
C1_C1,False,retail,read,entity_lookup,entity_lookup,early,1
C1_C1,False,retail,read,entity_lookup,entity_lookup,middle,1
C1_C1,False,retail,read,entity_lookup,recovery_retry,early,4
C1_C1,False,retail,read,entity_lookup,recovery_retry,middle,1
C1_C1,False,retail,read,recovery_retry,entity_lookup,early,3
C1_C1,False,retail,read,retrieval_search,entity_lookup,middle,1
C1_C1,False,retail,read,write_mutation,communication_only,middle,1
C1_C1,False,retail,single,<END>,<END>,late,57
C1_C1,False,retail,single,<END>,communication_only,late,1
C1_C1,False,retail,single,<END>,entity_lookup,early,4
C1_C1,False,retail,single,<END>,entity_lookup,middle,9
C1_C1,False,retail,single,<END>,recovery_retry,late,2
C1_C1,False,retail,single,<END>,recovery_retry,middle,2
C1_C1,False,retail,single,<END>,write_mutation,late,3
C1_C1,False,retail,single,communication_only,entity_lookup,early,2
C1_C1,False,retail,single,communication_only,entity_lookup,late,2
C1_C1,False,retail,single,communication_only,entity_lookup,middle,1
C1_C1,False,retail,single,communication_only,recovery_retry,late,2
C1_C1,False,retail,single,entity_lookup,<END>,early,1
C1_C1,False,retail,single,entity_lookup,<END>,late,2
C1_C1,False,retail,single,entity_lookup,<END>,middle,8
C1_C1,False,retail,single,entity_lookup,communication_only,early,1
C1_C1,False,retail,single,entity_lookup,entity_lookup,early,12
C1_C1,False,retail,single,entity_lookup,entity_lookup,middle,15
C1_C1,False,retail,single,entity_lookup,recovery_retry,early,8
C1_C1,False,retail,single,entity_lookup,recovery_retry,late,2
C1_C1,False,retail,single,entity_lookup,recovery_retry,middle,6
C1_C1,False,retail,single,entity_lookup,retrieval_search,early,8
C1_C1,False,retail,single,entity_lookup,write_mutation,late,4
C1_C1,False,retail,single,recovery_retry,<END>,late,2
C1_C1,False,retail,single,recovery_retry,entity_lookup,early,8
C1_C1,False,retail,single,recovery_retry,entity_lookup,late,4
C1_C1,False,retail,single,recovery_retry,entity_lookup,middle,4
C1_C1,False,retail,single,recovery_retry,post_write_verification,late,2
C1_C1,False,retail,single,write_mutation,<END>,late,7
C1_C1,False,retail,single,write_mutation,communication_only,late,1
C1_C1,False,retail,,recovery_retry,<END>,middle,1
C1_C1,False,retail,,write_mutation,entity_lookup,late,1
C1_C1,False,retail,,write_mutation,entity_lookup,middle,2
C1_C1,True,airline,read,<END>,<END>,late,45
C1_C1,True,airline,read,<END>,communication_only,late,7
C1_C1,True,airline,read,<END>,entity_lookup,early,4
C1_C1,True,airline,read,<END>,recovery_retry,late,1
C1_C1,True,airline,read,communication_only,<END>,late,6
C1_C1,True,airline,read,communication_only,entity_lookup,late,6
C1_C1,True,airline,read,communication_only,retrieval_search,late,1
C1_C1,True,airline,read,communication_only,retrieval_search,middle,2
C1_C1,True,airline,read,entity_lookup,communication_only,late,5
C1_C1,True,airline,read,entity_lookup,recovery_retry,early,4
C1_C1,True,airline,read,recovery_retry,<END>,late,1
C1_C1,True,airline,read,recovery_retry,communication_only,late,4
C1_C1,True,airline,read,retrieval_search,communication_only,late,1
C1_C1,True,airline,read,retrieval_search,entity_lookup,early,4
C1_C1,True,airline,read,retrieval_search,recovery_retry,middle,1
C1_C1,True,airline,single,<END>,<END>,late,10
C1_C1,True,retail,compound,<END>,<END>,late,10
C1_C1,True,retail,read,<END>,<END>,late,75
C1_C1,True,retail,read,<END>,communication_only,late,6
C1_C1,True,retail,read,<END>,entity_lookup,early,1
C1_C1,True,retail,read,<END>,entity_lookup,middle,2
C1_C1,True,retail,read,<END>,recovery_retry,late,4
C1_C1,True,retail,read,communication_only,<END>,late,5
C1_C1,True,retail,read,communication_only,entity_lookup,middle,2
C1_C1,True,retail,read,entity_lookup,<END>,middle,1
C1_C1,True,retail,read,entity_lookup,entity_lookup,early,1
C1_C1,True,retail,read,entity_lookup,recovery_retry,early,1
C1_C1,True,retail,read,entity_lookup,recovery_retry,middle,4
C1_C1,True,retail,read,recovery_retry,<END>,late,4
C1_C1,True,retail,read,recovery_retry,communication_only,late,4
C1_C1,True,retail,read,recovery_retry,communication_only,middle,1
C1_C1,True,retail,read,recovery_retry,entity_lookup,early,1
C1_C1,True,retail,read,recovery_retry,entity_lookup,middle,5
C2_C1,False,airline,compound,<END>,<END>,late,30
C2_C1,False,airline,compound,<END>,communication_only,late,3
C2_C1,False,airline,compound,<END>,recovery_retry,middle,1
C2_C1,False,airline,compound,<END>,retrieval_search,late,1
C2_C1,False,airline,compound,<END>,retrieval_search,middle,1
C2_C1,False,airline,compound,<END>,write_mutation,late,1
C2_C1,False,airline,compound,<END>,write_mutation,middle,2
C2_C1,False,airline,compound,communication_only,<END>,late,1
C2_C1,False,airline,compound,communication_only,<END>,middle,1
C2_C1,False,airline,compound,communication_only,communication_only,early,1
C2_C1,False,airline,compound,communication_only,communication_only,middle,1
C2_C1,False,airline,compound,communication_only,entity_lookup,early,7
C2_C1,False,airline,compound,communication_only,entity_lookup,middle,1
C2_C1,False,airline,compound,communication_only,retrieval_search,early,2
C2_C1,False,airline,compound,communication_only,retrieval_search,late,2
C2_C1,False,airline,compound,communication_only,write_mutation,early,2
C2_C1,False,airline,compound,communication_only,write_mutation,late,4
C2_C1,False,airline,compound,communication_only,write_mutation,middle,5
C2_C1,False,airline,compound,entity_lookup,<END>,late,1
C2_C1,False,airline,compound,entity_lookup,<END>,middle,3
C2_C1,False,airline,compound,entity_lookup,communication_only,early,2
C2_C1,False,airline,compound,entity_lookup,communication_only,late,1
C2_C1,False,airline,compound,entity_lookup,entity_lookup,early,4
C2_C1,False,airline,compound,entity_lookup,recovery_retry,early,6
C2_C1,False,airline,compound,entity_lookup,retrieval_search,early,1
C2_C1,False,airline,compound,entity_lookup,write_mutation,late,2
C2_C1,False,airline,compound,post_write_verification,post_write_verification,middle,1
C2_C1,False,airline,compound,recovery_retry,<END>,late,4
C2_C1,False,airline,compound,recovery_retry,<END>,middle,1
C2_C1,False,airline,compound,recovery_retry,communication_only,early,1
C2_C1,False,airline,compound,recovery_retry,communication_only,middle,2
C2_C1,False,airline,compound,recovery_retry,entity_lookup,early,4
C2_C1,False,airline,compound,recovery_retry,recovery_retry,middle,1
C2_C1,False,airline,compound,recovery_retry,retrieval_search,middle,1
C2_C1,False,airline,compound,retrieval_search,<END>,late,1
C2_C1,False,airline,compound,retrieval_search,<END>,middle,2
C2_C1,False,airline,compound,retrieval_search,communication_only,early,1
C2_C1,False,airline,compound,retrieval_search,communication_only,late,1
C2_C1,False,airline,compound,retrieval_search,communication_only,middle,2
C2_C1,False,airline,compound,retrieval_search,entity_lookup,early,5
C2_C1,False,airline,compound,retrieval_search,entity_lookup,middle,2
C2_C1,False,airline,compound,retrieval_search,recovery_retry,early,2
C2_C1,False,airline,compound,retrieval_search,recovery_retry,middle,1
C2_C1,False,airline,compound,retrieval_search,retrieval_search,early,5
C2_C1,False,airline,compound,retrieval_search,retrieval_search,middle,2
C2_C1,False,airline,compound,retrieval_search,write_mutation,early,1
C2_C1,False,airline,compound,retrieval_search,write_mutation,middle,2
C2_C1,False,airline,compound,write_mutation,<END>,late,4
C2_C1,False,airline,compound,write_mutation,<END>,middle,2
C2_C1,False,airline,compound,write_mutation,communication_only,middle,10
C2_C1,False,airline,compound,write_mutation,recovery_retry,late,1
C2_C1,False,airline,compound,write_mutation,retrieval_search,late,4
C2_C1,False,airline,compound,write_mutation,retrieval_search,middle,1
C2_C1,False,airline,read,communication_only,write_mutation,late,2
C2_C1,False,airline,read,entity_lookup,entity_lookup,early,3
C2_C1,False,airline,read,entity_lookup,write_mutation,late,1
C2_C1,False,airline,read,post_write_verification,<END>,late,1
C2_C1,False,airline,read,recovery_retry,write_mutation,middle,2
C2_C1,False,airline,read,retrieval_search,entity_lookup,early,5
C2_C1,False,airline,read,retrieval_search,retrieval_search,early,2
C2_C1,False,airline,single,<END>,<END>,late,4
C2_C1,False,airline,single,<END>,communication_only,late,5
C2_C1,False,airline,single,<END>,entity_lookup,early,3
C2_C1,False,airline,single,<END>,entity_lookup,late,1
C2_C1,False,airline,single,<END>,entity_lookup,middle,1
C2_C1,False,airline,single,<END>,retrieval_search,middle,1
C2_C1,False,airline,single,<END>,write_mutation,late,1
C2_C1,False,airline,single,<END>,write_mutation,middle,1
C2_C1,False,airline,single,communication_only,entity_lookup,late,1
C2_C1,False,airline,single,communication_only,recovery_retry,early,1
C2_C1,False,airline,single,entity_lookup,communication_only,early,2
C2_C1,False,airline,single,entity_lookup,entity_lookup,early,6
C2_C1,False,airline,single,entity_lookup,recovery_retry,early,4
C2_C1,False,airline,single,entity_lookup,retrieval_search,early,8
C2_C1,False,airline,single,retrieval_search,<END>,middle,5
C2_C1,False,airline,single,retrieval_search,communication_only,early,4
C2_C1,False,airline,single,retrieval_search,entity_lookup,middle,5
C2_C1,False,airline,single,retrieval_search,retrieval_search,early,1
C2_C1,False,airline,single,retrieval_search,retrieval_search,middle,3
C2_C1,False,airline,single,retrieval_search,write_mutation,middle,1
C2_C1,False,airline,single,write_mutation,entity_lookup,late,1
C2_C1,False,retail,compound,<END>,<END>,late,11
C2_C1,False,retail,compound,<END>,entity_lookup,late,2
C2_C1,False,retail,compound,<END>,entity_lookup,middle,2
C2_C1,False,retail,compound,<END>,recovery_retry,late,1
C2_C1,False,retail,compound,<END>,write_mutation,late,2
C2_C1,False,retail,compound,communication_only,entity_lookup,early,2
C2_C1,False,retail,compound,communication_only,write_mutation,middle,1
C2_C1,False,retail,compound,entity_lookup,<END>,middle,3
C2_C1,False,retail,compound,entity_lookup,communication_only,early,2
C2_C1,False,retail,compound,entity_lookup,communication_only,middle,2
C2_C1,False,retail,compound,entity_lookup,entity_lookup,middle,3
C2_C1,False,retail,compound,entity_lookup,recovery_retry,early,3
C2_C1,False,retail,compound,entity_lookup,write_mutation,late,1
C2_C1,False,retail,compound,entity_lookup,write_mutation,middle,4
C2_C1,False,retail,compound,post_write_verification,post_write_verification,late,1
C2_C1,False,retail,compound,recovery_retry,communication_only,late,1
C2_C1,False,retail,compound,recovery_retry,communication_only,middle,5
C2_C1,False,retail,compound,recovery_retry,entity_lookup,early,16
C2_C1,False,retail,compound,recovery_retry,entity_lookup,middle,1
C2_C1,False,retail,compound,recovery_retry,post_write_verification,late,4
C2_C1,False,retail,compound,recovery_retry,recovery_retry,late,4
C2_C1,False,retail,compound,write_mutation,<END>,middle,1
C2_C1,False,retail,compound,write_mutation,communication_only,late,4
C2_C1,False,retail,compound,write_mutation,entity_lookup,late,1
C2_C1,False,retail,compound,write_mutation,entity_lookup,middle,4
C2_C1,False,retail,compound,write_mutation,recovery_retry,middle,1
C2_C1,False,retail,compound,write_mutation,write_mutation,late,2
C2_C1,False,retail,compound,write_mutation,write_mutation,middle,1
C2_C1,False,retail,read,<END>,<END>,late,5
C2_C1,False,retail,read,<END>,communication_only,late,4
C2_C1,False,retail,read,communication_only,<END>,late,2
C2_C1,False,retail,read,communication_only,write_mutation,middle,1
C2_C1,False,retail,read,entity_lookup,<END>,late,2
C2_C1,False,retail,read,entity_lookup,communication_only,early,5
C2_C1,False,retail,read,entity_lookup,communication_only,middle,1
C2_C1,False,retail,read,entity_lookup,entity_lookup,middle,2
C2_C1,False,retail,read,entity_lookup,write_mutation,late,1
C2_C1,False,retail,read,recovery_retry,entity_lookup,early,2
C2_C1,False,retail,read,write_mutation,communication_only,late,1
C2_C1,False,retail,read,write_mutation,post_write_verification,late,1
C2_C1,False,retail,single,<END>,<END>,late,11
C2_C1,False,retail,single,<END>,entity_lookup,early,1
C2_C1,False,retail,single,<END>,entity_lookup,late,6
C2_C1,False,retail,single,<END>,entity_lookup,middle,1
C2_C1,False,retail,single,<END>,recovery_retry,late,1
C2_C1,False,retail,single,<END>,write_mutation,late,2
C2_C1,False,retail,single,communication_only,entity_lookup,early,2
C2_C1,False,retail,single,communication_only,entity_lookup,late,1
C2_C1,False,retail,single,entity_lookup,<END>,early,1
C2_C1,False,retail,single,entity_lookup,<END>,middle,11
C2_C1,False,retail,single,entity_lookup,communication_only,early,1
C2_C1,False,retail,single,entity_lookup,communication_only,late,2
C2_C1,False,retail,single,entity_lookup,entity_lookup,early,7
C2_C1,False,retail,single,entity_lookup,entity_lookup,middle,5
C2_C1,False,retail,single,entity_lookup,recovery_retry,early,1
C2_C1,False,retail,single,entity_lookup,recovery_retry,middle,1
C2_C1,False,retail,single,entity_lookup,retrieval_search,early,13
C2_C1,False,retail,single,entity_lookup,write_mutation,middle,1
C2_C1,False,retail,single,post_write_verification,post_write_verification,middle,1
C2_C1,False,retail,single,post_write_verification,recovery_retry,late,2
C2_C1,False,retail,single,recovery_retry,<END>,late,1
C2_C1,False,retail,single,recovery_retry,entity_lookup,early,7
C2_C1,False,retail,single,recovery_retry,entity_lookup,middle,1
C2_C1,False,retail,single,recovery_retry,recovery_retry,middle,1
C2_C1,False,retail,single,write_mutation,<END>,late,6
C2_C1,True,airline,read,<END>,<END>,late,8
C2_C1,True,airline,read,<END>,communication_only,late,3
C2_C1,True,airline,read,<END>,entity_lookup,early,3
C2_C1,True,airline,read,<END>,entity_lookup,late,1
C2_C1,True,airline,read,communication_only,<END>,late,5
C2_C1,True,airline,read,communication_only,entity_lookup,late,3
C2_C1,True,airline,read,communication_only,recovery_retry,late,1
C2_C1,True,airline,read,entity_lookup,communication_only,late,5
C2_C1,True,airline,read,entity_lookup,entity_lookup,early,2
C2_C1,True,airline,read,entity_lookup,recovery_retry,early,4
C2_C1,True,airline,read,recovery_retry,communication_only,middle,1
C2_C1,True,airline,read,retrieval_search,<END>,middle,1
C2_C1,True,airline,read,retrieval_search,entity_lookup,early,2
C2_C1,True,airline,read,retrieval_search,entity_lookup,middle,2
C2_C1,True,airline,read,retrieval_search,retrieval_search,early,3
C2_C1,True,retail,compound,<END>,<END>,late,5
C2_C1,True,retail,read,<END>,<END>,late,37
C2_C1,True,retail,read,<END>,communication_only,late,4
C2_C1,True,retail,read,<END>,entity_lookup,late,1
C2_C1,True,retail,read,communication_only,<END>,late,1
C2_C1,True,retail,read,communication_only,entity_lookup,middle,2
C2_C1,True,retail,read,communication_only,recovery_retry,late,1
C2_C1,True,retail,read,entity_lookup,<END>,late,1
C2_C1,True,retail,read,entity_lookup,communication_only,late,1
C2_C1,True,retail,read,entity_lookup,recovery_retry,early,1
C2_C1,True,retail,read,entity_lookup,recovery_retry,middle,2
C2_C1,True,retail,read,recovery_retry,<END>,middle,1
C2_C1,True,retail,read,recovery_retry,communication_only,late,3
C2_C1,True,retail,read,recovery_retry,entity_lookup,early,1
C2_C1,True,retail,read,recovery_retry,entity_lookup,middle,2
C2_C1,True,retail,read,retrieval_search,entity_lookup,middle,5
