block_id,task_uid,tau2_task_id,domain,stratum,model,replicate,branch,prefix_len,junction,n_tool_events,n_reads,n_unique_reads,n_duplicate_reads,n_mutations,n_tool_errors,n_user_turns,n_agent_messages,first_mutation_step,evidence_before_first_mutation,tool_sequence,endpoint_reward,suffix_len_turns,error
retail_T1_21__gpt_oss_120b__rep1,retail_T1_21,21,retail,T1,gpt_oss_120b,1,A,14,agent_first_user_message,1,0,0,0,1,0,3,4,0,0,modify_pending_order_items,,8,
retail_T1_21__gpt_oss_120b__rep1,retail_T1_21,21,retail,T1,gpt_oss_120b,1,P,14,agent_first_user_message,4,2,2,0,1,1,3,7,3,2,get_item_details get_item_details get_item_details modify_pending_order_items,,14,
retail_T1_21__mistral_small_3p2__rep0,retail_T1_21,21,retail,T1,mistral_small_3p2,0,N0,14,agent_first_user_message,1,0,0,0,0,1,3,4,,,exchange_delivered_order_items,,8,
retail_T1_21__mistral_small_3p2__rep0,retail_T1_21,21,retail,T1,mistral_small_3p2,0,N1,14,agent_first_user_message,1,0,0,0,0,1,3,4,,,exchange_delivered_order_items,,8,
retail_T1_21__mistral_small_3p2__rep0,retail_T1_21,21,retail,T1,mistral_small_3p2,0,S,14,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
retail_T1_21__mistral_small_3p2__rep0,retail_T1_21,21,retail,T1,mistral_small_3p2,0,A,14,agent_first_user_message,1,0,0,0,0,1,3,4,,,exchange_delivered_order_items,,8,
retail_T1_21__mistral_small_3p2__rep0,retail_T1_21,21,retail,T1,mistral_small_3p2,0,P,14,agent_first_user_message,1,0,0,0,0,1,3,4,,,exchange_delivered_order_items,,8,
retail_T1_21__mistral_small_3p2__rep1,retail_T1_21,21,retail,T1,mistral_small_3p2,1,N0,2,agent_first_user_message,9,8,8,0,0,1,3,8,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_item_details get_item_details get_product_details,,20,
retail_T1_21__mistral_small_3p2__rep1,retail_T1_21,21,retail,T1,mistral_small_3p2,1,N1,2,agent_first_user_message,9,7,7,0,0,2,3,12,,,find_user_id_by_name_zip get_user_details get_order_details get_item_details get_product_details get_item_details get_item_details calculate exchange_delivered_order_items,,24,
retail_T1_21__mistral_small_3p2__rep1,retail_T1_21,21,retail,T1,mistral_small_3p2,1,S,2,agent_first_user_message,10,10,10,0,0,0,3,8,,,find_user_id_by_name_zip get_user_details get_order_details get_order_details get_order_details get_item_details get_item_details get_item_details get_item_details get_product_details,,21,
retail_T1_21__mistral_small_3p2__rep1,retail_T1_21,21,retail,T1,mistral_small_3p2,1,A,2,agent_first_user_message,6,5,5,0,0,1,3,8,,,find_user_id_by_name_zip get_user_details get_order_details get_item_details get_item_details get_product_details,,17,
retail_T1_21__mistral_small_3p2__rep1,retail_T1_21,21,retail,T1,mistral_small_3p2,1,P,2,agent_first_user_message,9,8,8,0,0,1,3,12,,,find_user_id_by_name_zip get_user_details get_order_details get_item_details get_item_details list_all_product_types get_product_details get_item_details calculate,,24,
airline_T2_8__gemma4_31b__rep0,airline_T2_8,,,,gemma4_31b,0,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
airline_T2_8__gemma4_31b__rep1,airline_T2_8,,,,gemma4_31b,1,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
airline_T2_8__gpt_oss_120b__rep0,airline_T2_8,8,airline,T2,gpt_oss_120b,0,N0,6,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep0,airline_T2_8,8,airline,T2,gpt_oss_120b,0,N1,6,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep0,airline_T2_8,8,airline,T2,gpt_oss_120b,0,S,6,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep0,airline_T2_8,8,airline,T2,gpt_oss_120b,0,A,6,agent_first_user_message,2,0,0,0,1,1,3,5,1,0,book_reservation book_reservation,,10,
airline_T2_8__gpt_oss_120b__rep0,airline_T2_8,8,airline,T2,gpt_oss_120b,0,P,6,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep1,airline_T2_8,8,airline,T2,gpt_oss_120b,1,N0,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep1,airline_T2_8,8,airline,T2,gpt_oss_120b,1,N1,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep1,airline_T2_8,8,airline,T2,gpt_oss_120b,1,S,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep1,airline_T2_8,8,airline,T2,gpt_oss_120b,1,A,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__gpt_oss_120b__rep1,airline_T2_8,8,airline,T2,gpt_oss_120b,1,P,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep0,airline_T2_8,8,airline,T2,mistral_small_3p2,0,N0,5,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep0,airline_T2_8,8,airline,T2,mistral_small_3p2,0,N1,5,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep0,airline_T2_8,8,airline,T2,mistral_small_3p2,0,S,5,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep0,airline_T2_8,8,airline,T2,mistral_small_3p2,0,A,5,agent_first_user_message,1,1,1,0,0,0,3,4,,,get_user_details,,8,
airline_T2_8__mistral_small_3p2__rep0,airline_T2_8,8,airline,T2,mistral_small_3p2,0,P,5,agent_first_user_message,1,1,1,0,0,0,3,4,,,get_user_details,,8,
airline_T2_8__mistral_small_3p2__rep1,airline_T2_8,8,airline,T2,mistral_small_3p2,1,N0,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep1,airline_T2_8,8,airline,T2,mistral_small_3p2,1,N1,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep1,airline_T2_8,8,airline,T2,mistral_small_3p2,1,S,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep1,airline_T2_8,8,airline,T2,mistral_small_3p2,1,A,4,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T2_8__mistral_small_3p2__rep1,airline_T2_8,8,airline,T2,mistral_small_3p2,1,P,4,agent_first_user_message,1,1,1,0,0,0,3,4,,,get_user_details,,8,
airline_T1_41__gemma4_31b__rep0,airline_T1_41,,,,gemma4_31b,0,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
airline_T1_41__gemma4_31b__rep1,airline_T1_41,,,,gemma4_31b,1,BLOCK_FAIL,,,,,,,,,,,,,,,,litellm.NotFoundError: NotFoundError: OpenAIException - The model `g4` does not exist.
airline_T1_41__gpt_oss_120b__rep0,airline_T1_41,41,airline,T1,gpt_oss_120b,0,N0,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gpt_oss_120b__rep0,airline_T1_41,41,airline,T1,gpt_oss_120b,0,N1,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gpt_oss_120b__rep0,airline_T1_41,41,airline,T1,gpt_oss_120b,0,S,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gpt_oss_120b__rep0,airline_T1_41,41,airline,T1,gpt_oss_120b,0,A,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,7,
airline_T1_41__gpt_oss_120b__rep0,airline_T1_41,41,airline,T1,gpt_oss_120b,0,P,18,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,7,
airline_T1_41__gpt_oss_120b__rep1,airline_T1_41,41,airline,T1,gpt_oss_120b,1,N0,19,agent_first_user_message_empty,0,0,0,0,0,0,3,3,,,,,7,
airline_T1_41__gpt_oss_120b__rep1,airline_T1_41,41,airline,T1,gpt_oss_120b,1,N1,19,agent_first_user_message_empty,0,0,0,0,0,0,3,3,,,,,7,
airline_T1_41__gpt_oss_120b__rep1,airline_T1_41,41,airline,T1,gpt_oss_120b,1,S,19,agent_first_user_message_empty,0,0,0,0,0,0,3,3,,,,,7,
airline_T1_41__gpt_oss_120b__rep1,airline_T1_41,41,airline,T1,gpt_oss_120b,1,A,19,agent_first_user_message_empty,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__gpt_oss_120b__rep1,airline_T1_41,41,airline,T1,gpt_oss_120b,1,P,19,agent_first_user_message_empty,0,0,0,0,0,0,3,3,,,,,7,
airline_T1_41__mistral_small_3p2__rep0,airline_T1_41,41,airline,T1,mistral_small_3p2,0,N0,12,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__mistral_small_3p2__rep0,airline_T1_41,41,airline,T1,mistral_small_3p2,0,N1,12,agent_first_user_message,10,6,6,0,4,0,3,6,6,6,get_flight_status get_flight_status get_flight_status get_flight_status get_flight_status get_flight_status cancel_reservation cancel_reservation send_certificate send_certificate,,19,
airline_T1_41__mistral_small_3p2__rep0,airline_T1_41,41,airline,T1,mistral_small_3p2,0,S,12,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__mistral_small_3p2__rep0,airline_T1_41,41,airline,T1,mistral_small_3p2,0,A,12,agent_first_user_message,2,0,0,0,2,0,3,4,0,0,cancel_reservation cancel_reservation,,9,
airline_T1_41__mistral_small_3p2__rep0,airline_T1_41,41,airline,T1,mistral_small_3p2,0,P,12,agent_first_user_message,4,2,2,0,2,0,3,5,2,2,get_reservation_details get_reservation_details cancel_reservation cancel_reservation,,12,
airline_T1_41__mistral_small_3p2__rep1,airline_T1_41,41,airline,T1,mistral_small_3p2,1,N0,12,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__mistral_small_3p2__rep1,airline_T1_41,41,airline,T1,mistral_small_3p2,1,N1,12,agent_first_user_message,0,0,0,0,0,0,3,3,,,,,6,
airline_T1_41__mistral_small_3p2__rep1,airline_T1_41,41,airline,T1,mistral_small_3p2,1,S,12,agent_first_user_message,3,0,0,0,3,0,3,5,0,0,cancel_reservation cancel_reservation send_certificate,,11,
airline_T1_41__mistral_small_3p2__rep1,airline_T1_41,41,airline,T1,mistral_small_3p2,1,A,12,agent_first_user_message,2,0,0,0,2,0,3,4,0,0,cancel_reservation cancel_reservation,,9,
airline_T1_41__mistral_small_3p2__rep1,airline_T1_41,41,airline,T1,mistral_small_3p2,1,P,12,agent_first_user_message,8,8,8,0,0,0,3,4,,,get_flight_status get_flight_status get_flight_status get_flight_status get_flight_status get_flight_status get_flight_status get_flight_status,,16,
