task_id,task_type,clar_C0,clar_C1,clar_C2,clar_C3,clar_C4,clar_C5,vd_C0,vd_C1,vd_C2,vd_C3,vd_C4,vd_C5,ve_C0,ve_C1,ve_C2,ve_C3,ve_C4,ve_C5,success_C0,success_C1,success_C2,success_C3,success_C4,success_C5
multi_turn_miss_param_137,miss_param,4,1,2,3,2,1,,,,,,,1.0,1.3333,1.6667,1.6667,1.6667,3.0,0,1,1,1,1,1
multi_turn_miss_param_156,miss_param,6,6,4,4,6,2,2.0,1.0,3.0,3.0,3.0,4.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_162,miss_param,3,1.6667,1,0,0,2.3333,,,,,,,1.0,1.0,1.0,1.0,1.0,3.3333,0,0,0,0,0,0
multi_turn_miss_param_164,miss_param,4,2,2,5,4,3,1.0,1.0,1.0,1.0,1.0,1.5,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_173,miss_param,4.3333,4,4.3333,5,1,1,1.0,1.0,1.0,1.3333,1.0,1.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_179,miss_param,2,1.6667,3,3.6667,3,5,,,,,,,4.3333,4.0,4.5,2.0,3.5,0.0,0,0,0,0,0,0
multi_turn_miss_param_180,miss_param,1,4,4,4.3333,4,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_181,miss_param,3,4,3,3,3,0,1.5,1.5,1.5,1.5,2.0,1.5,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_184,miss_param,2,1,1,1,1,1,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,1,1,1,1,1,1
multi_turn_miss_param_185,miss_param,1,2,1,2,2,1,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_187,miss_param,3,3,3,2,4,2,,,,,,,0.5,1.0,0.5,1.5,0.5,7.5,0,0,0,0,0,0
multi_turn_miss_param_188,miss_param,4,,,,,,1.0,,,,,,,,,,,,0,,,,,
multi_turn_miss_param_189,miss_param,2,1,4,4,2.6667,2,,,,,,,1.0,1.0,1.0,2.0,1.3333,1.0,0,1,1,0,1,0
multi_turn_miss_param_19,miss_param,1,3,1.6667,1,3,1,14.0,6.0,18.6667,6.0,2.0,5.0,,,,,,,0,1,0.3333,0,0,1
multi_turn_miss_param_194,miss_param,6,2,2,2.3333,2,5.6667,,,,,,,1.75,1.0,1.0,1.1667,1.25,1.8333,0,0,0,0,0,0
multi_turn_miss_param_196,miss_param,0,,,,,,,,,,,,1.0,,,,,,0,,,,,
multi_turn_miss_param_2,miss_param,5.6667,6,5,6,2,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_24,miss_param,2,1,4,1,0,1,2.0,2.0,3.0,2.0,2.0,4.0,,,,,,,0,1,1,0,0,0
multi_turn_miss_param_25,miss_param,2,2,2,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_36,miss_param,1,1,1,1,1,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,0,0,0,0,
multi_turn_miss_param_37,miss_param,4,2,2.3333,3,1,4,,,,,,,4.0,3.5,3.1667,3.0,4.3333,7.5,0,0,0,0,0,0
multi_turn_miss_param_47,miss_param,2,2,2,2,4,2.3333,,,,,,,1.0,0.75,1.25,1.0,1.0,2.3333,0.6667,0,0,1,1,0
multi_turn_miss_param_5,miss_param,0,0,0,0,0,0,6.0,7.0,7.0,4.0,6.0,8.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_51,miss_param,1,1,1,1,1,2,,,,,,,4.0,3.0,3.0,3.0,3.0,11.0,1,1,1,1,0,0
multi_turn_miss_param_69,miss_param,0.6667,1,1,0,0,0,,,,,,,1.5,1.5,1.5,1.5,1.0,2.5,0,0,0,0,0,0
multi_turn_miss_param_79,miss_param,1,1,1,1,2,0,,,,,,,4.0,4.0,4.0,4.0,4.0,15.0,1,1,1,1,0,0
multi_turn_miss_param_89,miss_param,2,3,2,2,2,0,1.5,0.25,1.25,1.25,1.25,0.75,,,,,,,0,0,1,0,0,0
multi_turn_miss_param_90,miss_param,3,2,4,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0,0,0,0,0,0
multi_turn_miss_param_92,miss_param,1.3333,2,6,2,2,1,,,,,,,2.75,2.25,2.25,3.0,2.5,4.8333,0,0,0,0,0,0
multi_turn_miss_param_93,miss_param,3,2,3,3,3,0,,,,,,,1.3333,2.6667,2.0,1.6667,1.3333,5.6667,0,0,0,0,0,0
multi_turn_miss_param_94,miss_param,2,1,1,1,1,0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,0,1,1,1,1,1
multi_turn_miss_param_95,miss_param,2,2,2,3,4,0,,,,,,,1.5,2.5,2.25,1.75,1.5,3.5,0,0,0,0,0,0
multi_turn_miss_param_98,miss_param,1,1,1,1,1.6667,1,,,,,,,1.75,2.0,2.25,2.5,2.0,4.5,1,1,1,1,0,1
