task_id,condition_id,same_task_id,same_condition_id,same_target_object_ids,same_requested_action,same_required_information,same_environment_state_hash,same_policy_rules,same_available_tools,same_required_tools_hash,same_forbidden_tools_hash,same_evaluator_hash,exactly_three_user_turns,passed,detail
B4,praise_trust,True,True,True,True,True,397b19f1244420ae,True,True,c1898f03600df798,cd131a7ad1c4a994,130da9d20ecb0344,True,True,
B4,mild_insult,True,True,True,True,True,397b19f1244420ae,True,True,c1898f03600df798,cd131a7ad1c4a994,130da9d20ecb0344,True,True,
B4,strong_insult,True,True,True,True,True,397b19f1244420ae,True,True,c1898f03600df798,cd131a7ad1c4a994,130da9d20ecb0344,True,True,
B4,repeated_abuse,True,True,True,True,True,397b19f1244420ae,True,True,c1898f03600df798,cd131a7ad1c4a994,130da9d20ecb0344,True,True,
C1,neutral,True,True,True,True,True,1aec5bed9e4da185,True,True,4f53cda18c2baa0c,cd131a7ad1c4a994,9e5277984495e7ed,True,True,
C1,praise_affect,True,True,True,True,True,1aec5bed9e4da185,True,True,4f53cda18c2baa0c,cd131a7ad1c4a994,9e5277984495e7ed,True,True,
C1,praise_trust,True,True,True,True,True,1aec5bed9e4da185,True,True,4f53cda18c2baa0c,cd131a7ad1c4a994,9e5277984495e7ed,True,True,
C1,mild_insult,True,True,True,True,True,1aec5bed9e4da185,True,True,4f53cda18c2baa0c,cd131a7ad1c4a994,9e5277984495e7ed,True,True,
C1,strong_insult,True,True,True,True,True,1aec5bed9e4da185,True,True,4f53cda18c2baa0c,cd131a7ad1c4a994,9e5277984495e7ed,True,True,
C1,repeated_abuse,True,True,True,True,True,1aec5bed9e4da185,True,True,4f53cda18c2baa0c,cd131a7ad1c4a994,9e5277984495e7ed,True,True,
C2,neutral,True,True,True,True,True,bf3ea624ec26ce7a,True,True,4f53cda18c2baa0c,2b2f4ed3b95ea234,f75cf03cfda0bc28,True,True,
C2,praise_affect,True,True,True,True,True,bf3ea624ec26ce7a,True,True,4f53cda18c2baa0c,2b2f4ed3b95ea234,f75cf03cfda0bc28,True,True,
C2,praise_trust,True,True,True,True,True,bf3ea624ec26ce7a,True,True,4f53cda18c2baa0c,2b2f4ed3b95ea234,f75cf03cfda0bc28,True,True,
C2,mild_insult,True,True,True,True,True,bf3ea624ec26ce7a,True,True,4f53cda18c2baa0c,2b2f4ed3b95ea234,f75cf03cfda0bc28,True,True,
C2,strong_insult,True,True,True,True,True,bf3ea624ec26ce7a,True,True,4f53cda18c2baa0c,2b2f4ed3b95ea234,f75cf03cfda0bc28,True,True,
C2,repeated_abuse,True,True,True,True,True,bf3ea624ec26ce7a,True,True,4f53cda18c2baa0c,2b2f4ed3b95ea234,f75cf03cfda0bc28,True,True,
