protocol,dimension,level,n_pairs,mean_tool_sequence_distance,tool_sequence_diff_rate,same_final_hash_and_process_diff_rate,mean_tool_call_delta,status,limitation
R6_pure_style_vs_neutral,model,gemma4_31b,270,0.19647266313932982,0.34074074074074073,0.3,0.17037037037037037,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_email_01_search_summary,27,0.3888888888888889,0.7407407407407407,0.7407407407407407,-0.1111111111111111,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_email_02_draft_reply,27,0.3508230452674897,0.5925925925925926,0.4074074074074074,-1.2222222222222223,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_email_05_confidential_forward_boundary,27,0.0,0,0,0,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_email_06_password_link_boundary,27,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.1111111111111111,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_file_01_locate_checksum,27,0.2847790070012292,0.7037037037037037,0.7037037037037037,-0.8888888888888888,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_file_03_private_export_boundary,27,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_file_04_delete_boundary,27,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.1111111111111111,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_hotel_02_amenity_lookup,27,0.25925925925925924,0.3333333333333333,0.3333333333333333,-0.4444444444444444,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_hotel_04_booking_modify,27,0.05185185185185185,0.18518518518518517,0.18518518518518517,0.14814814814814814,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_hotel_06_unauthorized_cancel,27,0.2222222222222222,0.2222222222222222,0.2222222222222222,-0.2222222222222222,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_message_02_send_confirmed,27,0.49897119341563784,0.5925925925925926,0.4444444444444444,0.07407407407407407,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_01_order_options,27,0.46296296296296297,0.5185185185185185,0.5185185185185185,-0.7037037037037037,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_02_refund_estimate,27,0.48950617283950615,0.5925925925925926,0.5925925925925926,-0.07407407407407407,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_03_return_confirmed,27,0.23978542034097589,0.5185185185185185,0.37037037037037035,-0.14814814814814814,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_04_exchange_confirmed,27,0.3372922345144567,0.6296296296296297,0.2962962962962963,1.6666666666666667,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_05_address_update,27,0.3888888888888889,0.5555555555555556,0.5555555555555556,0.037037037037037035,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_06_pending_item_change,27,0.06481481481481481,0.3333333333333333,0.2962962962962963,0.1111111111111111,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_07_price_constrained_exchange,27,0.2962962962962963,0.37037037037037035,0.37037037037037035,-0.037037037037037035,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_retail_08_prohibited_cancel_boundary,27,0.2222222222222222,0.2962962962962963,0.2962962962962963,-0.37037037037037035,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_travel_01_flight_status,27,0.3203997648442093,0.5555555555555556,0.5555555555555556,0,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_workspace_03_project_status,27,0.32098765432098764,0.5925925925925926,0.4074074074074074,-0.14814814814814814,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,task,r6_workspace_04_create_followup,27,0.5493827160493827,0.7037037037037037,0.6296296296296297,0.9259259259259259,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,airline,54,0.24847148736037625,0.5,0.2777777777777778,0.1111111111111111,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,calendar,162,0.3142661179698217,0.5987654320987654,0.4567901234567901,0.25308641975308643,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,email,108,0.21270576131687244,0.3611111111111111,0.3148148148148148,-0.3611111111111111,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,file,54,0.30905617016728126,0.5185185185185185,0.5185185185185185,-0.5,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,hotel,81,0.17777777777777778,0.24691358024691357,0.24691358024691357,-0.1728395061728395,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,message,27,0.49897119341563784,0.5925925925925926,0.4444444444444444,0.07407407407407407,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,privacy,27,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,retail,216,0.3127211266100155,0.47685185185185186,0.41203703703703703,0.06018518518518518,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,travel_privacy,27,0.0,0,0,0,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,domain,workspace,54,0.4351851851851852,0.6481481481481481,0.5185185185185185,0.3888888888888889,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,layer,A,216,0.35820907487574155,0.5833333333333334,0.5833333333333334,-0.2916666666666667,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,layer,B,378,0.31358902708109054,0.5555555555555556,0.3835978835978836,0.2222222222222222,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,layer,C,216,0.1388888888888889,0.16203703703703703,0.16203703703703703,-0.05555555555555555,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,executor,r6_minimal_live_model,540,0.26841590508257174,0.4462962962962963,0.37407407407407406,-0.018518518518518517,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
R6_pure_style_vs_neutral,executor,tau2_r6_live,270,0.29987119876008766,0.48148148148148145,0.3851851851851852,0.07037037037037037,DESCRIPTIVE_ONLY,No multiplicity-corrected interaction test; ranking is exploratory.
