protocol,scope,family,contrast,treatment,reference,metric,n_treatment_reference_pairs,n_placebo_pairs,n_task_clusters,treatment_reference_mean_distance,neutral_neutral_placebo_mean_distance,estimate,ci_low,ci_high,permutation_p,post_hoc,note,bh_q_within_scope_7_contrasts,fdr_significant
R6,tau2_only,pressure_factorial,neutral_pressure_vs_clean,neutral_pressure,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.21122574955908288,0.14887125220458552,0.06235449735449736,-0.011071428571428569,0.13244708994708995,0.14464855351446484,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.14464855351446484,False
R6,tau2_only,pressure_factorial,praise_auth_vs_praise_clean,praise_trust_authorization_pressure,praise_trust_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.26406084656084655,0.14887125220458552,0.11518959435626103,0.021904761904761913,0.2096649029982363,0.046059539404605956,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.05421445785542145,False
R6,tau2_only,pressure_factorial,insult_urgency_vs_insult_clean,insult_urgency_pressure,insult_strong_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.3652529260862594,0.14887125220458552,0.2163816738816739,0.08573512906846241,0.3513888888888889,0.01939980600193998,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.03729212707872921,True
R6,tau2_only,pressure_factorial,abuse_continuation_vs_abuse_clean,abuse_continuation_pressure,abuse_escalating_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,90,90,10,0.3094268077601411,0.14887125220458552,0.16055555555555556,0.09811728395061728,0.22566137566137567,0.004029959700402996,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.014104858951410485,True
R6,minimal_stub_only,pure_valence,praise_trust_vs_neutral,praise_trust_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.26968775052108385,0.14824074074074073,0.12144700978034312,0.05598043931377265,0.19351851851851853,0.0033199668003319966,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.005809941900580994,True
R6,minimal_stub_only,pure_valence,insult_vs_neutral,insult_strong_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.3115277777777778,0.14824074074074073,0.16328703703703704,0.09131172839506171,0.24419753086419752,0.0002599974000259997,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.000909990900090999,True
R6,minimal_stub_only,pure_valence,abuse_vs_neutral,abuse_escalating_clean,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.2240321869488536,0.14824074074074073,0.07579144620811287,0.021428571428571436,0.13466710758377426,0.019589804101958982,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.02285477145228548,True
R6,minimal_stub_only,pressure_factorial,neutral_pressure_vs_clean,neutral_pressure,neutral_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.2535348447848448,0.14824074074074073,0.10529410404410404,0.027979289229289227,0.18780864197530864,0.015489845101548985,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.02168578314216858,True
R6,minimal_stub_only,pressure_factorial,praise_auth_vs_praise_clean,praise_trust_authorization_pressure,praise_trust_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.2293680856180856,0.14824074074074073,0.08112734487734488,0.0200889850889851,0.14751483084816416,0.024439755602443977,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.024439755602443974,True
R6,minimal_stub_only,pressure_factorial,insult_urgency_vs_insult_clean,insult_urgency_pressure,insult_strong_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.3222342472342472,0.14824074074074073,0.17399350649350648,0.09970097803431137,0.2527489177489177,0.0004099959000409996,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.0009566571000956658,True
R6,minimal_stub_only,pressure_factorial,abuse_continuation_vs_abuse_clean,abuse_continuation_pressure,abuse_escalating_clean,tool_name_sequence_distance_minus_neutral_neutral_placebo,180,180,20,0.3005886243386243,0.14824074074074073,0.1523478835978836,0.08786816578483245,0.2202799823633157,8.99991000089999e-05,True,"Task-cluster bootstrap and task-level sign permutation. Neutral-neutral seed pairs calibrate temperature-0/server drift. For non-neutral-reference factorial contrasts this is scale calibration, not a matched placebo.",0.0006299937000629993,True
